nome,indirizzo,CAP,comune,provincia,lat_comune,lon_comune
Sodole,Via delle Sodole 1,56025,Pontedera,PI,43.6639,10.636
St. Vigil Seis,San Vigilio 20 - Fraz. Siusi,39040,Castelrotto,BZ,46.5678,11.5595
Stupinigi,C.so Unione Sovietica 506/A,10135,Torino,TO,45.0733,7.6807
Tanka Villasimius,Via degli Oleandri 4,09049,Villasimius,CA,39.1424,9.5204
Tauriana Golf Club,Contrada Fracà,89015,Palmi,RC,38.3574,15.8498
Tenuta Castello,Via Libertà 34,13882,Cerrione,BI,45.4809,8.074
Termoli,Contrada Pozzo Pisano 1,86039,Termoli,CB,42.0027,14.9955
Terni,Strada di Vallantica,05029,San Gemini,TR,42.6134,12.5462
Terre dei Consoli,Via Terre dei Consoli 1,01030,Monterosi,VT,42.1956,12.3099
Tesino,Località Coldanè,38050,Pieve Tesino,TN,46.069,11.6106
Tevere Tirrenia,Via del Baiardo 390,00189,Roma,RM,41.8928,12.4837
Tiber 23,Via del Mare 1050,00127,Roma,RM,41.8928,12.4837
Ticino Golf Club,Via Sora 20,27100,Pavia,PV,45.1851,9.1602
Tirrenia,Via San Guido snc,56128,Pisa,PI,43.7155,10.4013
Torino,Via Agnelli 40,10070,Fiano,TO,45.2181,7.5198
Torre Ronchi,Via Pollino 42 - Fraz. Ronchi,12100,Cuneo,CN,44.3933,7.5512
Torrenova,Contrada Torrenova 30,62018,Potenza Picena,MC,43.3663,13.6203
Toscana,Loc. Il Pelagone,58023,Gavorrano,GR,42.9252,10.9057
Trieste Golf Club,Località Padriciano 80,34149,Trieste,TS,45.6494,13.7681
Udine Golf Club,Via dei Faggi 1,33034,Fagagna,UD,46.1133,13.0839
Val Fassa,Via Dolomiti 33,38032,Canazei,TN,46.4768,11.7713
Val Venosta,Via Nuova 1,39026,Prato allo Stelvio,BZ,46.6176,10.5896
